treated,diff,absdiff,is_che
"KOR",1.560822,1.560822,0
"BEL",1.2095407,1.2095407,0
"FRA",1.1398106,1.1398106,0
"JPN",1.0324766,1.0324766,0
"FIN",.38481849,.38481849,0
"GBR",.37932478,.37932478,0
"ISL",.30045958,.30045958,0
"ESP",.29006459,.29006459,0
"IRL",.28726475,.28726475,0
"CHE",.2714427,.2714427,1
"NLD",.26738227,.26738227,0
"DNK",.22390503,.22390503,0
"DEU",.21674845,.21674845,0
"USA",.12843057,.12843057,0
"LUX",.04108352,.04108352,0
"CHL",.03364298,.03364298,0
"GRC",-.11966475,.11966475,0
"LVA",-.26431445,.26431445,0
"TUR",-.27930369,.27930369,0
"ITA",-.28756328,.28756328,0
"SVN",-.3234504,.3234504,0
"HUN",-.33535332,.33535332,0
"CAN",-.34339121,.34339121,0
"POL",-.34819637,.34819637,0
"LTU",-.37725114,.37725114,0
"NOR",-.38819903,.38819903,0
"AUT",-.39081976,.39081976,0
"ISR",-.39179184,.39179184,0
"EST",-.39179184,.39179184,0
"CRI",-.39179184,.39179184,0
"AUS",-.39179184,.39179184,0
"COL",-.39179184,.39179184,0
"SVK",-.39179184,.39179184,0
"PRT",-.39179184,.39179184,0
"MEX",-.39179184,.39179184,0
"SWE",-.39179184,.39179184,0
"CZE",-.39179184,.39179184,0
"NZL",-.39179184,.39179184,0
