treated,diff,absdiff,is_che
"FRA",.55628649,.55628649,0
"BEL",.54252432,.54252432,0
"KOR",.42605946,.42605946,0
"JPN",.32972432,.32972432,0
"FIN",.19148649,.19148649,0
"DNK",.14198378,.14198378,0
"GBR",.11959459,.11959459,0
"NLD",.11384324,.11384324,0
"ESP",.10911892,.10911892,0
"ISL",.10665405,.10665405,0
"DEU",.10008108,.10008108,0
"CHE",.04338919,.04338919,1
"LUX",.02839459,.02839459,0
"IRL",.00066486,.00066486,0
"USA",-.00385405,.00385405,0
"GRC",-.03014595,.03014595,0
"CHL",-.04575676,.04575676,0
"ITA",-.09505405,.09505405,0
"LVA",-.09977838,.09977838,0
"TUR",-.11333514,.11333514,0
"SVN",-.11354054,.11354054,0
"HUN",-.11908649,.11908649,0
"CAN",-.12278378,.12278378,0
"POL",-.12381081,.12381081,0
"LTU",-.1346973,.1346973,0
"NOR",-.13777838,.13777838,0
"AUT",-.13880541,.13880541,0
"NZL",-.13921622,.13921622,0
"ISR",-.13921622,.13921622,0
"EST",-.13921622,.13921622,0
"MEX",-.13921622,.13921622,0
"PRT",-.13921622,.13921622,0
"CRI",-.13921622,.13921622,0
"AUS",-.13921622,.13921622,0
"COL",-.13921622,.13921622,0
"CZE",-.13921622,.13921622,0
"SWE",-.13921622,.13921622,0
"SVK",-.13921622,.13921622,0
