STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,STANDARD_REVENUE,Revenue category,CTRY_SPECIFIC_REVENUE,Country-specific revenue category,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,REVENUE_CODE,Revenue code,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1990,,0.467,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1991,,0.493,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1992,,0.491,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1993,,0.466,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1994,,0.045,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1995,,0.033,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1996,,0.023,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1997,,0.012,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1998,,0.003,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(1.1),Comparative tables of countries in the global database,I,AUT,Austria,TAX_REV,Tax revenue,S13,General government,T_4200,Recurrent taxes on net wealth,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1999,,0.003,,A,Normal value,0,Units,4200,,1,One,_Z,Not applicable
